Okres,Kraj
Benešov,Středočeský kraj
Beroun,Středočeský kraj
Blansko,Jihomoravský kraj
Brno-město,Jihomoravský kraj
Brno-venkov,Jihomoravský kraj
Bruntál,Moravskoslezský kraj
Břeclav,Jihomoravský kraj
Česká Lípa,Liberecký kraj
České Budějovice,Jihočeský kraj
Český Krumlov,Jihočeský kraj
Děčín,Ústecký kraj
Domažlice,Plzeňský kraj
Frýdek-Místek,Moravskoslezský kraj
Havlíčkův Brod,Kraj Vysočina
Hodonín,Jihomoravský kraj
Hradec Králové,Královéhradecký kraj
Cheb,Karlovarský kraj
Chomutov,Ústecký kraj
Chrudim,Pardubický kraj
Jablonec nad Nisou,Liberecký kraj
Jeseník,Olomoucký kraj
Jičín,Královéhradecký kraj
Jihlava,Kraj Vysočina
Jindřichův Hradec,Jihočeský kraj
Karlovy Vary,Karlovarský kraj
Karviná,Moravskoslezský kraj
Kladno,Středočeský kraj
Klatovy,Plzeňský kraj
Kolín,Středočeský kraj
Kroměříž,Zlínský kraj
Kutná Hora,Středočeský kraj
Liberec,Liberecký kraj
Litoměřice,Ústecký kraj
Louny,Ústecký kraj
Mělník,Středočeský kraj
Mladá Boleslav,Středočeský kraj
Most,Ústecký kraj
Náchod,Královéhradecký kraj
Nový Jičín,Moravskoslezský kraj
Nymburk,Středočeský kraj
Olomouc,Olomoucký kraj
Opava,Moravskoslezský kraj
Ostrava-město,Moravskoslezský kraj
Pardubice,Pardubický kraj
Pelhřimov,Kraj Vysočina
Písek,Jihočeský kraj
Plzeň-jih,Plzeňský kraj
Plzeň-město,Plzeňský kraj
Plzeň-sever,Plzeňský kraj
Praha,Hlavní město Praha
Praha-východ,Středočeský kraj
Praha-západ,Středočeský kraj
Prachatice,Jihočeský kraj
Prostějov,Olomoucký kraj
Přerov,Olomoucký kraj
Příbram,Středočeský kraj
Rakovník,Středočeský kraj
Rokycany,Plzeňský kraj
Rychnov nad Kněžnou,Královéhradecký kraj
Semily,Liberecký kraj
Sokolov,Karlovarský kraj
Strakonice,Jihočeský kraj
Svitavy,Pardubický kraj
Šumperk,Olomoucký kraj
Tachov,Plzeňský kraj
Tábor,Jihočeský kraj
Teplice,Ústecký kraj
Trutnov,Královéhradecký kraj
Třebíč,Kraj Vysočina
Uherské Hradiště,Zlínský kraj
Ústí nad Labem,Ústecký kraj
Ústí nad Orlicí,Pardubický kraj
Vsetín,Zlínský kraj
Vyškov,Jihomoravský kraj
Zlín,Zlínský kraj
Znojmo,Jihomoravský kraj
Žďár nad Sázavou,Kraj Vysočina
