PSC,Okres
36235,Karlovy Vary
54232,Trutnov
67904,Blansko
28601,Kutná Hora
37371,České Budějovice
79001,Jeseník
25765,Benešov
37833,Jindřichův Hradec
34201,Klatovy
38901,Strakonice
28401,Kutná Hora
46345,Liberec
59257,Žďár nad Sázavou
56301,Ústí nad Orlicí
73543,Karviná
51722,Rychnov nad Kněžnou
39811,Písek
39816,Písek
46331,Liberec
79351,Bruntál
46843,Jablonec nad Nisou
74255,Nový Jičín
38301,Prachatice
35002,Cheb
39133,Tábor
66491,Brno-venkov
79804,Prostějov
46821,Jablonec nad Nisou
34004,Klatovy
79397,Bruntál
25901,Benešov
46342,Jablonec nad Nisou
33901,Klatovy
46373,Liberec
46331,Liberec
36471,Karlovy Vary
79331,Bruntál
56301,Ústí nad Orlicí
35709,Sokolov
34201,Klatovy
75101,Přerov
37821,Jindřichův Hradec
46844,Jablonec nad Nisou
35002,Cheb
58601,Jihlava
39470,Pelhřimov
71100,Ostrava-město
69633,Hodonín
39501,Pelhřimov
36251,Karlovy Vary
58827,Jihlava
79351,Olomouc
46401,Liberec
40502,Děčín
40714,Děčín
35601,Sokolov
38501,Prachatice
50782,Jičín
38301,Prachatice
25789,Benešov
47301,Česká Lípa
54372,Trutnov
79383,Bruntál
40002,Ústí nad Labem
37833,Jindřichův Hradec
35201,Cheb
25601,Benešov
39155,Tábor
25601,Benešov
54701,Náchod
54101,Trutnov
75643,Vsetín
34012,Plzeň-jih
67544,Třebíč
39501,Pelhřimov
38411,Prachatice
78501,Olomouc
35301,Cheb
25101,Praha-východ
25753,Benešov
58001,Havlíčkův Brod
34525,Domažlice
68703,Uherské Hradiště
66401,Brno-venkov
66484,Brno-venkov
25167,Benešov
25168,Benešov
50315,Hradec Králové
50351,Hradec Králové
34101,Klatovy
39470,Pelhřimov
33101,Plzeň-sever
40327,Ústí nad Labem
40002,Ústí nad Labem
67961,Blansko
34401,Domažlice
50601,Jičín
39301,Pelhřimov
50723,Jičín
51801,Rychnov nad Kněžnou
67555,Třebíč
58291,Havlíčkův Brod
67532,Třebíč
68001,Blansko
28401,Kutná Hora
27371,Kladno
54701,Náchod
29401,Mladá Boleslav
79861,Prostějov
59401,Žďár nad Sázavou
33165,Plzeň-sever
39131,Tábor
33901,Klatovy
56802,Svitavy
68754,Uherské Hradiště
25789,Benešov
38001,Jindřichův Hradec
67161,Znojmo
25786,Benešov
53002,Pardubice
50401,Hradec Králové
28163,Kolín
50401,Hradec Králové
25167,Benešov
58301,Havlíčkův Brod
78963,Šumperk
74254,Nový Jičín
51764,Rychnov nad Kněžnou
51761,Rychnov nad Kněžnou
51763,Rychnov nad Kněžnou
50601,Jičín
58001,Havlíčkův Brod
71600,Ostrava-město
71700,Ostrava-město
73934,Ostrava-město
79399,Bruntál
76701,Kroměříž
73901,Frýdek-Místek
50801,Jičín
25065,Praha-východ
28123,Kolín
58851,Jihlava
50722,Jičín
54232,Trutnov
54237,Trutnov
54234,Trutnov
67505,Třebíč
38773,Strakonice
37341,České Budějovice
69201,Břeclav
26751,Beroun
33032,Plzeň-sever
27054,Rakovník
39175,Tábor
37501,České Budějovice
43526,Most
43001,Chomutov
36464,Karlovy Vary
28143,Kolín
79821,Prostějov
27033,Rakovník
37842,Jindřichův Hradec
37842,Jindřichův Hradec
25601,Benešov
39501,Pelhřimov
78801,Šumperk
67971,Blansko
28504,Kutná Hora
54351,Trutnov
46812,Jablonec nad Nisou
37401,České Budějovice
37335,České Budějovice
25703,Benešov
44001,Louny
66451,Brno-venkov
46001,Liberec
43401,Most
41701,Teplice
41702,Teplice
34021,Klatovy
67139,Znojmo
50732,Jičín
50732,Jičín
40502,Děčín
41186,Litoměřice
29404,Mladá Boleslav
19011,Hlavní město Praha
39165,Tábor
39165,Tábor
53854,Chrudim
74723,Opava
39301,Pelhřimov
38451,Prachatice
38241,Český Krumlov
79001,Jeseník
51101,Semily
58401,Havlíčkův Brod
51601,Rychnov nad Kněžnou
34526,Domažlice
56905,Svitavy
29421,Mladá Boleslav
56943,Svitavy
50782,Jičín
51401,Semily
50791,Semily
40502,Děčín
27034,Rakovník
25724,Benešov
38742,Strakonice
38743,Strakonice
37881,Jindřichův Hradec
26727,Beroun
27363,Kladno
39143,Tábor
38301,Prachatice
67923,Brno-venkov
50346,Hradec Králové
53401,Pardubice
38301,Prachatice
53002,Pardubice
25756,Benešov
25744,Benešov
77900,Olomouc
78315,Olomouc
78316,Olomouc
26301,Příbram
28506,Benešov
27353,Kladno
75364,Přerov
76821,Zlín
54701,Náchod
70030,Ostrava-město
55205,Náchod
55212,Náchod
43401,Most
28002,Kolín
54931,Náchod
28923,Nymburk
28506,Kutná Hora
57001,Svitavy
39301,Pelhřimov
50303,Hradec Králové
59242,Žďár nad Sázavou
58263,Havlíčkův Brod
29471,Mladá Boleslav
29471,Mladá Boleslav
29471,Mladá Boleslav
39143,Tábor
51237,Semily
51401,Semily
38422,Prachatice
55001,Náchod
25601,Benešov
67953,Blansko
39470,Pelhřimov
38241,Český Krumlov
38282,Český Krumlov
40722,Děčín
51206,Semily
38473,Prachatice
53501,Pardubice
34901,Tachov
46348,Liberec
67506,Třebíč
58291,Havlíčkův Brod
25744,Benešov
10300,Hlavní město Praha
78391,Olomouc
78901,Šumperk
74741,Opava
75002,Přerov
33901,Klatovy
36461,Cheb
39137,Tábor
58833,Jihlava
36461,Cheb
79065,Jeseník
28401,Kutná Hora
34142,Klatovy
34802,Tachov
25765,Benešov
39843,Písek
79057,Jeseník
74101,Nový Jičín
54101,Trutnov
54204,Trutnov
35709,Sokolov
36221,Karlovy Vary
36461,Cheb
26601,Beroun
26601,Beroun
26601,Beroun
26601,Beroun
26601,Beroun
26601,Beroun
26711,Beroun
26601,Beroun
28908,Nymburk
28908,Nymburk
26223,Příbram
27371,Kladno
46822,Jablonec nad Nisou
38241,Český Krumlov
38281,Český Krumlov
43986,Louny
56501,Ústí nad Orlicí
53845,Chrudim
53843,Chrudim
51801,Rychnov nad Kněžnou
34201,Klatovy
33901,Klatovy
47201,Česká Lípa
26724,Beroun
50601,Jičín
67961,Blansko
56943,Svitavy
39501,Pelhřimov
58851,Jihlava
51252,Semily
29301,Mladá Boleslav
46342,Jablonec nad Nisou
39175,Tábor
39174,Tábor
26724,Beroun
29425,Mladá Boleslav
38801,Strakonice
43801,Louny
58901,Jihlava
34012,Klatovy
78325,Olomouc
25722,Benešov
34806,Tachov
39501,Pelhřimov
33824,Rokycany
39901,Tábor
33901,Klatovy
36401,Karlovy Vary
53501,Pardubice
25768,Benešov
33544,Plzeň-jih
58301,Havlíčkův Brod
34815,Tachov
59501,Žďár nad Sázavou
58001,Havlíčkův Brod
54931,Náchod
54954,Náchod
54964,Náchod
26242,Příbram
78973,Šumperk
33501,Plzeň-jih
34401,Domažlice
47201,Česká Lípa
34953,Tachov
25756,Benešov
25751,Benešov
34952,Tachov
66902,Znojmo
76701,Kroměříž
25753,Benešov
50771,Jičín
29429,Mladá Boleslav
33901,Klatovy
25901,Benešov
75354,Přerov
36461,Cheb
